date,age_of_inventory,total_new_listings,total_active_listings,inventory,total_homes_sold,total_homes_sold_with_price_drops,average_sale_to_list_ratio,percent_homes_sold_with_price_drops,homes_delisted,median_new_listing_price,median_days_on_market,median_days_to_close,median_sale_price,months_of_supply,pending_sales,percent_off_market_in_two_weeks,percent_homes_sold_above_list,price_drops
2020-10-31,73.25,2210.75,41866.5,39861.5,1469.75,443.75,0.9853640050422592,0.3022237868307818,494.5,630250.0,67.75,56.25,578250.0,29.20528503490487,990.75,0.1680622346057244,0.15788103923564095,1125.0
2020-11-30,82.6,1590.8,40223.6,38312.0,1444.4,441.8,0.9847868731711398,0.30691977096323636,537.8,612800.0,68.4,58.6,583650.0,28.434552213078014,834.4,0.128209307520193,0.16579420223845243,929.6
2020-12-31,98.25,919.75,36315.0,34423.0,1589.75,522.5,0.9836553604596078,0.3277145431015356,556.75,613500.0,73.0,58.25,590900.0,23.055034310369074,703.25,0.12202826236096923,0.1466727064948593,550.0
2021-01-31,107.25,1737.0,33585.5,30519.25,1480.0,514.75,0.9837767472144675,0.34543632941630903,908.25,642250.0,75.875,67.25,594750.0,23.014306188106122,979.75,0.20577854178038446,0.1554069818377336,883.5
2021-02-28,104.0,1593.75,27523.25,25997.75,1387.75,584.75,0.9826989290875833,0.4207290567565547,456.5,644749.875,78.5,75.0,600000.0,20.057519244297655,610.5,0.2727329636673972,0.14065648482668147,893.25
2021-03-31,77.4,2271.8,28584.2,26713.0,1494.0,597.4,0.982230251087185,0.4002002472856587,480.6,665788.6,85.2,69.9,626500.0,19.13649932348874,926.4,0.308452397774375,0.17918580297894163,977.6
2021-04-30,60.25,2694.25,30934.75,28923.5,1516.25,561.0,0.9843215920474726,0.3709211749755788,442.25,686375.0,84.0,74.75,646250.0,20.805118178978685,1151.0,0.27307277596802293,0.20424782911605394,1099.75
2021-05-31,58.6,2544.6,32832.6,30666.2,1613.0,528.0,0.9907282919563137,0.3280747070996352,476.4,680560.0,69.7,70.4,652800.0,20.585166128642093,1303.0,0.2457015388456023,0.24829283012544376,1242.8
2021-06-30,60.75,2244.75,33518.25,31292.75,1903.75,571.75,0.9973333173832543,0.30171135386308817,545.75,655811.0,60.0,70.375,675625.0,17.973164647272732,1272.5,0.20305803506523257,0.28555862133359566,1208.0
2021-07-31,65.5,2170.25,32788.75,30700.75,1885.75,565.5,0.9994290069861189,0.3001860874741048,551.25,652986.0,54.75,71.5,673500.0,17.77930997747116,1151.0,0.19350806961770275,0.30083944871318963,1203.25
2021-08-31,70.4,1809.0,31549.0,29553.4,2021.4,609.4,0.9970231360898687,0.30155168261915677,535.2,637600.0,51.6,71.1,678200.0,15.629211120658136,1047.4,0.18475086029538618,0.2913111859390991,1043.2
2021-09-30,71.0,2240.5,30829.75,28788.25,1627.5,512.25,0.9948305452097063,0.31344520095624573,609.5,705283.5,53.5,73.25,661250.0,19.635116719554215,971.25,0.19912372076994284,0.27450395908579484,1287.5
2021-10-31,68.25,2030.25,30723.5,28619.75,1770.25,546.75,0.9931666300126453,0.3093192747026673,558.25,694125.0,55.5,71.875,654250.0,17.537806806237008,1084.5,0.23002116248504945,0.26299703087716286,1208.25
