,region_id,region_type_id,region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,pending_sales,pending_sales_yoy,median_pending_sqft,median_pending_sqft_yoy,off_market_in_two_weeks,off_market_in_two_weeks_yoy,off_market_in_one_week,off_market_in_one_week_yoy,percent_off_market_in_two_weeks,percent_off_market_in_two_weeks_yoy,percent_off_market_in_one_week,percent_off_market_in_one_week_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,homes_delisted,homes_delisted_yoy,percent_active_listings_delisted,percent_active_listings_delisted_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,pending_sales_to_sales_ratio,pending_sales_to_sales_ratio_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,average_percent_off_market_in_one_week_listing_updates,average_percent_off_market_in_one_week_listing_updates_yoy,average_percent_off_market_in_two_weeks_listing_updates,average_percent_off_market_in_two_weeks_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,percent_homes_sold_above_list,percent_homes_sold_above_list_yoy,price_drop_percent_of_old_list_price,price_drop_percent_of_old_list_price_yoy,last_updated,average_adjustment_average_homes_delisted,adjusted_average_homes_delisted,average_adjustment_average_homes_sold,adjusted_average_homes_sold,average_adjustment_average_new_listings,adjusted_average_new_listings,average_adjustment_pending_sales,adjusted_pending_sales,adjusted_average_homes_delisted_yoy,adjusted_average_homes_sold_yoy,adjusted_average_new_listings_yoy,adjusted_pending_sales_yoy
2886575,35614,-2,"New York, NY metro area",metro,11/13/2023,11/19/2023,1 weeks,1075,-0.197761194,1075,-0.197761194,330,-0.23255814,330,-0.23255814,0.306976744,-0.013918778,692000,0.048484848,416.6666667,0.058092625,44,-18,1120,-0.423274974,0.047898046,-0.021675272,611,-0.039308176,1500,-0.031320633,106,0.358974359,46,0.703703704,0.173486088,0.050844579,0.075286416,0.032833586,1164,-0.052117264,1164,-0.052117264,749000,0.087082729,447.5262238,0.066445469,22018,-0.167089086,23383,-0.162289972,23383,-0.162289972,69,-11,517,0.019723866,0.02211008,0.0039465,818000,0.09212283,522.3037832,0.120022409,565000,-0.03829378,575000,0.022222222,1.001196254,0.026417379,0.994586042,0.005633759,68.5,8.5,0.568372093,0.093745227,21.75162791,0.921030892,1067,-0.201944652,0.045923149,0.026476627,0.163074039,0.07780852,0.050867472,-0.02259574,0.314418605,0.064418605,0.052258386,-0.090088988,12/6/2023 14:30,,517,,1075,,1164,,611,0.019723866,-0.197761194,-0.052117264,-0.039308176
2762044,35614,-2,"New York, NY metro area",metro,11/20/2023,11/26/2023,1 weeks,609,-0.248148148,609,-0.248148148,194,-0.368078176,194,-0.368078176,0.318555008,-0.060457337,715000,0.059259259,406.8914956,0.061456075,47,-12.5,415,-0.306020067,0.018331198,-0.003858041,418,-0.007125891,1464,-0.039370079,55,-0.017857143,30,0.428571429,0.131578947,-0.00143768,0.071770335,0.0218891,651,0.179347826,651,0.179347826,700000,0.037037037,430.6207645,0.083413092,21629,-0.165193562,22639,-0.159962894,22639,-0.159962894,74,-9,432,0.158176944,0.019082115,0.00524167,819000,0.093457944,525.3032787,0.120967271,570000,-0.184549356,570000,-0.173913043,0.98276738,0.014181472,0.99181255,0.004454918,65,3,0.6863711,0.166618014,37.17405583,3.902450891,708,-0.134474328,0.032485876,0.01170348,0.124293785,0.044831683,0.019187202,-0.00389358,0.3136289,0.059307912,0.053508172,-0.035460762,12/6/2023 14:30,,432,,609,,651,,418,0.158176944,-0.248148148,0.179347826,-0.007125891
3635983,42644,-2,"Seattle, WA metro area",metro,9/4/2023,9/10/2023,1 weeks,554,-0.205164993,554,-0.205164993,119,-0.512295082,119,-0.512295082,0.214801444,-0.135270292,775000,0,451.1904762,0.03879972,29,0,362,-0.487252125,0.073953013,-0.026231462,480,-0.176672384,1851,0.015916575,262,0.056451613,207,0.169491525,0.545833333,0.120447399,0.43125,0.127647942,919,-0.081918082,919,-0.081918082,785000,0.01029601,471.6981132,0.02324625,4299,-0.313368471,4895,-0.305378175,4895,-0.305378175,38,-6,70,-0.5,0.014300306,-0.005566303,829950,0.037502344,469.8022448,0.074878638,675000,0,670000,0.030769231,0.974649616,-0.006385153,1.003533254,0.01372804,9,-9,0.866425993,0.029984099,8.835740072,-1.274733385,585,-0.197530864,0.367521368,0.105518624,0.48034188,0.118201963,0.084205629,-0.02855591,0.371841155,0.135112317,0.035962813,-0.006685515,12/6/2023 14:30,,70,,554,,919,,480,-0.5,-0.205164993,-0.081918082,-0.176672384
3726204,42644,-2,"Seattle, WA metro area",metro,9/11/2023,9/17/2023,1 weeks,631,-0.273878021,631,-0.273878021,127,-0.615151515,127,-0.615151515,0.201267829,-0.178479007,750000,0.013513514,452.9411765,0.058235294,29,-1,344,-0.514809591,0.06683505,-0.031012039,604,-0.140825036,1780,-0.048128342,369,-0.010723861,309,-0.006430868,0.610927152,0.080343938,0.511589404,0.069199646,856,-0.132725431,856,-0.132725431,822000,0.033962264,474,0.04084701,4414,-0.300142699,5147,-0.289677063,5147,-0.289677063,38,-6,89,-0.485549133,0.017291626,-0.006583615,835000,0.043815238,473.3331316,0.074661999,809000,0.115862069,800000,0.126760563,0.984339229,0.015159107,0.999680556,0.012786812,10,-11,0.957210777,0.148234942,8.156893819,-0.181426089,715,-0.151838671,0.447552448,0.06439705,0.546853147,0.083033455,0.077933847,-0.03448093,0.321711569,0.126084411,0.037095124,-0.009955843,12/6/2023 14:30,,89,,631,,856,,604,-0.485549133,-0.273878021,-0.132725431,-0.140825036
3762831,42644,-2,"Seattle, WA metro area",metro,9/18/2023,9/24/2023,1 weeks,635,-0.19924338,635,-0.19924338,149,-0.482638889,149,-0.482638889,0.234645669,-0.128532137,760000,0.013333333,458.5597826,0.092790849,29,-1,378,-0.434131737,0.072930735,-0.019847043,571,-0.071544715,1890,-0.011506276,389,0.114613181,289,0.124513619,0.681260946,0.113781271,0.506129597,0.088243418,772,-0.1393534,772,-0.1393534,775000,-0.021464646,465.8947368,0.04822651,4495,-0.293238994,5183,-0.280138889,5183,-0.280138889,38,-6,85,-0.487951807,0.016399768,-0.006655787,838000,0.047565473,477.6056039,0.089520995,719000,-0.173563218,719000,-0.153121319,0.980138368,0.011409006,1.000339919,0.013116925,12,-9,0.899212598,0.123676659,8.162204724,-0.917240421,687,-0.101960784,0.449781659,0.088997346,0.61426492,0.125376031,0.084093437,-0.020938009,0.308661417,0.122028378,0.038328664,-0.002533312,12/6/2023 14:30,,85,,635,,772,,571,-0.487951807,-0.19924338,-0.1393534,-0.071544715
3671360,42644,-2,"Seattle, WA metro area",metro,9/25/2023,10/1/2023,1 weeks,748,-0.180722892,748,-0.180722892,174,-0.454545455,174,-0.454545455,0.232620321,-0.11677727,776388.5,0.001791613,440.670227,0.031168331,29,-1,390,-0.488859764,0.074913561,-0.031769884,569,0.028933092,1870,-0.009009009,339,0.215053763,253,0.234146341,0.595782074,0.091261278,0.444639719,0.073934475,717,-0.09469697,717,-0.09469697,785000,0.046666667,450.9690123,0.037462391,4468,-0.290004767,5206,-0.272091723,5206,-0.272091723,38,-6,128,-0.448275862,0.024587015,-0.007851464,827427.5,0.035578849,474.7138881,0.085572136,619995,-0.172236315,620000,-0.132836812,0.98803729,0.020458061,0.997427397,0.011799724,10,-9,0.760695187,0.154999678,6.959893048,-0.873622834,688,0.017751479,0.390988372,0.071461745,0.524709302,0.08979806,0.087287377,-0.033958452,0.282085561,0.063027511,0.03813088,-0.004044407,12/6/2023 14:30,,128,,748,,717,,569,-0.448275862,-0.180722892,-0.09469697,0.028933092
3696428,42644,-2,"Seattle, WA metro area",metro,10/2/2023,10/8/2023,1 weeks,539,-0.261643836,539,-0.261643836,127,-0.517110266,127,-0.517110266,0.235621521,-0.124652451,786000,0.034210526,451.3274336,0.078011386,27,-2,375,-0.524714829,0.07357269,-0.038660596,511,-0.072595281,1790,-0.04685836,302,0.193675889,233,0.378698225,0.590998043,0.131832889,0.455968689,0.149253625,631,-0.147297297,631,-0.147297297,777000,0.057214777,454.5170455,0.033509858,4456,-0.286583413,5097,-0.274964438,5097,-0.274964438,38,-7,99,-0.421052632,0.01942319,-0.004901134,825000,0.033834586,472.972973,0.083870529,644950,-0.167752758,634950,-0.1534,0.984108419,0.019657911,1.000412279,0.014996497,10,-12,0.948051948,0.193257428,9.456400742,-0.173736244,614,-0.113997114,0.405537459,0.153012207,0.535830619,0.151992235,0.084156194,-0.042164651,0.354359926,0.152990063,0.03887557,-0.00493238,12/6/2023 14:30,,99,,539,,631,,511,-0.421052632,-0.261643836,-0.147297297,-0.072595281
3834275,42644,-2,"Seattle, WA metro area",metro,10/9/2023,10/15/2023,1 weeks,547,-0.18358209,547,-0.18358209,131,-0.447257384,131,-0.447257384,0.239488117,-0.114243226,800000,0.025641026,451.0638298,0.022972462,28,-1,341,-0.49556213,0.06644583,-0.030056668,456,-0.112840467,1830,-0.015069968,254,0.049586777,196,0.132947977,0.557017544,0.086200423,0.429824561,0.093248686,681,-0.106299213,681,-0.106299213,775000,0.107158674,455.3571429,0.050093828,4517,-0.277626739,5132,-0.267380443,5132,-0.267380443,38,-6,104,-0.391812865,0.020265004,-0.004146131,824450,0.037044025,473.6767119,0.084892274,969995,0.385806129,950000,0.338028169,0.984121497,0.011306726,1.0018783,0.01488706,8,-9,0.833638026,0.066473846,9.382084095,-1.073139786,605,-0.087481146,0.368595041,0.082018872,0.489256198,0.089557857,0.075492584,-0.032615525,0.33820841,0.123283036,0.041476468,-0.000775568,12/6/2023 14:30,,104,,547,,681,,456,-0.391812865,-0.18358209,-0.106299213,-0.112840467
3831463,42644,-2,"Seattle, WA metro area",metro,10/16/2023,10/22/2023,1 weeks,601,-0.096240602,601,-0.096240602,123,-0.450892857,123,-0.450892857,0.204658902,-0.132183203,775000,0.054421769,454.2566508,0.039284156,29,0,420,-0.395683453,0.082127493,-0.017886897,448,-0.093117409,1893,0.037828947,261,0.134782609,203,0.215568862,0.582589286,0.117002241,0.453125,0.11506832,605,-0.130747126,605,-0.130747126,765000,0.055172414,453.121875,0.02499515,4498,-0.272286038,5114,-0.264066772,5114,-0.264066772,39,-6,125,-0.371859296,0.024442706,-0.004194508,816750,0.028658871,471.7361534,0.079949433,792000,0.092489137,750000,0.034482759,0.976002216,0.002821781,1.002026042,0.01382202,10,-7,0.745424293,0.00256715,8.509151414,-1.940472646,564,-0.133640553,0.382978723,0.112625421,0.508865248,0.126376769,0.093374833,-0.019066519,0.327787022,0.103726871,0.036585223,-0.004426873,12/6/2023 14:30,,125,,601,,605,,448,-0.371859296,-0.096240602,-0.130747126,-0.093117409
3729122,42644,-2,"Seattle, WA metro area",metro,10/23/2023,10/29/2023,1 weeks,603,-0.062208398,603,-0.062208398,152,-0.358649789,152,-0.358649789,0.252072968,-0.11651179,736000,-0.056410256,451.9230769,0.062588882,29,0,354,-0.473214286,0.070899259,-0.028523733,449,-0.105577689,1812,0.000552181,249,0.0969163,203,0.326797386,0.554565702,0.102374466,0.452115813,0.147334936,504,-0.134020619,504,-0.134020619,739500,-0.045806452,443.132485,0.045371886,4396,-0.268430687,4993,-0.261281255,4993,-0.261281255,45,-1,103,-0.457894737,0.02062888,-0.007481787,810000,0.018932008,474.2765273,0.085765132,775000,0.016726796,775000,0.061643836,0.988776961,0.022967339,0.998827223,0.01642681,12,-7,0.744610282,-0.036105115,8.28026534,-2.231398735,547,-0.153250774,0.382084095,0.129762114,0.473491773,0.091138832,0.080527753,-0.031304499,0.328358209,0.130846545,0.036560999,-0.002931182,12/6/2023 14:30,,103,,603,,504,,449,-0.457894737,-0.062208398,-0.134020619,-0.105577689
3810945,42644,-2,"Seattle, WA metro area",metro,10/30/2023,11/5/2023,1 weeks,590,0.074681239,590,0.074681239,159,-0.235576923,159,-0.235576923,0.269491525,-0.109379149,794500,0.095862069,447.8664495,0.10203654,28,-1,335,-0.441666667,0.068591319,-0.02218024,446,-0.074688797,1820.5,-0.026470588,233,0.170854271,180,0.276595745,0.522421525,0.109558454,0.403587444,0.111056324,491,-0.183028286,491,-0.183028286,759900,0.062797203,455.3960396,0.077754083,4207,-0.269998265,4884,-0.261119516,4884,-0.261119516,46,-5,180,-0.338235294,0.036855037,-0.004294736,810000,0.025316456,472.4754291,0.079573994,749000,-0.097590361,685000,-0.14375,0.977135044,0.008510583,0.997561662,0.013896279,13,-7,0.755932203,-0.122027724,8.277966102,-3.762106758,556,-0.094462541,0.334532374,0.095118693,0.447841727,0.110708176,0.079629189,-0.024483252,0.310169492,0.122555648,0.03642625,-0.006906583,12/6/2023 14:30,,180,,590,,491,,446,-0.338235294,0.074681239,-0.183028286,-0.074688797
